"id";"pedido_id";"producto_id";"cantidad";"subtotal"
1;1;2;5;137.5
2;1;3;6;45.0
3;1;4;7;62.3
4;2;5;1;10.5
5;2;65;1;19.9
6;3;12;4;18.0
7;3;28;3;29.7
8;3;41;5;39.5
9;3;61;1;32.9
10;4;28;8;79.2
11;4;80;10;1990.0
12;4;75;4;110.0
13;4;51;5;89.5
14;4;34;4;39.6
15;4;9;8;47.2
16;5;80;10;1990.0
17;5;73;7;839.3
18;5;49;5;199.5
19;5;28;5;49.5
20;5;35;6;77.4
21;5;2;6;165.0
22;5;21;4;111.6
23;6;80;14;2786.0
24;6;74;7;41.3
25;6;75;9;247.5
26;6;49;22;877.8
27;6;51;7;125.3
28;6;35;9;116.1
29;6;28;8;79.2
30;6;2;7;192.5
31;6;9;12;70.8
32;6;21;6;167.4
33;6;41;13;102.7
34;7;21;10;279.0
35;7;5;3;31.5
36;7;2;7;192.5
37;7;9;6;35.4
38;7;49;7;279.3
39;7;61;5;164.5
40;7;73;13;1558.7
41;8;12;30;135.0
42;8;5;8;84.0
43;8;89;10;1899.0
44;8;90;7;909.3
45;9;21;18;502.2
46;9;9;15;88.5
47;9;2;11;302.5
48;9;61;23;756.7
49;9;58;25;497.5
50;10;90;7;909.3
51;10;89;7;1329.3
52;10;21;1;27.9
53;10;2;1;27.5
54;10;35;1;12.9
55;10;49;6;239.4
56;10;73;8;959.2
57;10;80;10;1990.0
58;11;2;15;412.5
59;11;49;14;558.6
60;11;61;12;394.8
61;11;34;12;118.8
62;11;80;12;2388.0
63;11;90;18;2338.2
64;12;2;11;302.5
65;12;21;12;334.8
66;12;24;8;143.2
67;12;75;6;165.0
68;12;61;5;164.5
69;12;73;11;1318.9
70;13;2;8;220.0
71;13;34;9;89.1
72;13;81;5;149.5
73;13;49;9;359.1
74;13;21;10;279.0
75;14;34;2;19.8
76;14;73;1;119.9
77;14;35;1;12.9
78;14;80;5;995.0
79;14;61;2;65.8
80;14;2;2;55.0
81;14;49;1;39.9
82;15;2;3;82.5
83;15;21;3;83.7
84;15;49;7;279.3
85;15;73;3;359.7
86;15;80;3;597.0
87;15;58;3;59.7
88;15;81;8;239.2
89;16;9;4;23.6
90;16;90;1;129.9
91;16;91;1;2199.0
92;17;9;13;76.7
93;17;65;14;278.6
94;17;81;9;269.1
95;17;80;1;199.0
96;18;2;2;55.0
97;18;9;8;47.2
98;18;21;4;111.6
99;18;49;1;39.9
100;18;28;7;69.3
101;18;41;4;31.6
102;18;89;1;189.9
103;18;3;8;60.0
104;18;4;9;80.1
105;18;51;1;17.9
106;18;26;1;6.5
107;18;35;4;51.6
108;18;33;8;52.0
109;18;75;1;27.5
110;18;81;1;29.9
